policy,seed,logdet_cov,alpha_rmse,holdout_torque_rmse,sigma_eff,ee_error_mean,ee_error_max,tracking_rmse,fault,max_abs_qd,peak_abs_tau,sum_sq_qdd_ref
fourier_nullspace,9,-121.94729514020085,0.03503937973961869,0.19570378934198795,0.3010409805542158,0.010633369192069904,0.02212231482451787,0.015699547119240147,False,0.44000737735461315,55.78470171559819,9539.306915747402
free_reference,10,-118.79070613120834,0.06395316430685845,0.5216346084971639,0.30967260159819865,nan,nan,0.027751428749294812,False,1.2184124618671452,74.32056240993592,4194.418787019811
no_exploration,10,-78.8623637994735,0.0912534047734814,1.3831473234712364,0.09981937110532511,0.009957916844761527,0.011782507675176706,0.021101311542359964,False,0.13431475831407783,49.16600733962027,0.0
smooth_random_nullspace,10,-72.5695322704653,0.07756223205781386,0.41593418154167916,0.9218681951886749,0.00976667389581396,0.011935641516862144,0.01983599136133144,False,0.12467987698429155,57.673576260709034,4925.407890336102
fourier_nullspace,10,-121.32439506092119,0.061075522132327,0.3043032183204489,0.3153783929636131,0.010515685852131062,0.013744716962254195,0.022019459790554453,False,0.39452973627208454,53.408524756384,7284.128746794845
free_reference,11,-130.46750309939208,0.03624741160057303,0.10797557399926495,0.3377708814188312,nan,nan,0.05290963359846247,False,1.222009939117182,88.0868563160108,5795.589981500509
no_exploration,11,-121.47554457453829,0.050390337497104025,0.5845682658173446,0.2318988680983367,0.012608646971341834,0.027119650447770115,0.04351484082500295,False,0.42920137638192307,49.45413615304866,0.0
smooth_random_nullspace,11,-89.3189741004163,0.04758404119943329,0.5155928548472603,1.2353645371853323,0.01281927934885891,0.02725148504233575,0.0431843262451275,False,0.42218157044476484,58.644461234609906,4854.820726269138
fourier_nullspace,11,-131.84474494927667,0.04008797023954639,0.2136962382539918,0.2887161590199939,0.012336377846855826,0.023159043400118897,0.04346513380751962,False,0.6520384691282259,57.57307954911693,9035.0464183384
free_reference,12,-124.7259374210292,0.07285149239703258,0.5491308059901987,0.3144277157364127,nan,nan,0.035580811394041914,False,1.7332634343201,69.69916267460113,4653.503588778436
no_exploration,12,-80.86945686302931,0.1517862982951959,2.3938751847606823,0.1116556905657445,0.02003000175973162,0.02222877539106294,0.020491975813762223,False,0.17613909081542473,50.764890400068815,0.0
smooth_random_nullspace,12,-73.83535054862818,0.11941184184681115,1.1546393341790642,0.7538162705922189,0.02022806515160837,0.02388521899880246,0.021002696587043946,False,0.15150160810765886,58.320069176977434,4946.323567078247
fourier_nullspace,12,-123.94689027989722,0.04605622189402473,0.36197349486761676,0.2464456952733618,0.020057042936176214,0.024814374424351988,0.020706305557669967,False,0.25927490397177777,55.152295999815216,3762.7253524812177
free_reference,13,-108.93579466935446,0.07249513531941444,0.28010843508378463,0.6361855972530033,nan,nan,0.03603416148520542,False,1.4059483777873332,74.59635773302003,10244.107615561403
no_exploration,13,-94.32757331627778,0.08694710320332774,1.0831231301326616,0.18538548723621032,0.019916557658046508,0.024324419632261892,0.026233184689423584,False,0.19824518126236365,54.4341758648033,0.0
smooth_random_nullspace,13,-77.15842111796351,0.07496111915940105,0.3956160409521037,1.437888964678706,0.019659088952469685,0.023910734816626995,0.026060697897280407,False,0.21138803802437023,61.78866967817627,6555.70656297526
fourier_nullspace,13,-126.04445016205878,0.025479394577651367,0.2751852813403488,0.3236396871532194,0.017833255883784635,0.02342338691533275,0.024281874260962132,False,0.5514511821009342,56.11856574061567,9192.10930942286
free_reference,14,-130.19456226960233,0.05084303168315369,0.11924219520178929,0.2849209786564702,nan,nan,0.03321299860271309,False,1.2225821402345334,63.67304158734853,3810.2513486183952
no_exploration,14,-89.60397465786838,0.1040860145032804,0.5520640210232559,0.027429411652358775,0.03929567917246715,0.0496497590217131,0.03178270704649747,False,0.2716028251010569,49.25853698833734,0.0
smooth_random_nullspace,14,-82.18842551402071,0.12099469805117949,0.8475045937529073,0.7592101462904339,0.039853409514323916,0.0506958804244236,0.03221006896598119,False,0.30548000240817436,60.11752662232552,5437.481904053248
fourier_nullspace,14,-131.42461061414446,0.026847288371519822,0.18436035179772042,0.28074050976086307,0.04222428571696803,0.055498525700567514,0.03499644037233021,False,0.6248639711959129,58.64171225954827,11544.235505375038
free_reference,15,-125.60003923912667,0.06710087138849462,0.5736711572639065,0.2724053912453689,nan,nan,0.02257682073871854,False,1.8227611696321175,56.023726727837506,6327.736207563947
no_exploration,15,-113.82430758907991,0.06701080490686781,0.6400568151635756,0.1170676709537467,0.013096233954423005,0.025150237860800992,0.020993868807157912,False,0.3751023549553412,48.95692982160453,0.0
smooth_random_nullspace,15,-92.61090596623883,0.0809605451239884,1.3878864255432288,0.4544266119319105,0.010798467075497647,0.02322763392804759,0.019905699039259636,False,0.40491812438886254,58.952581107958906,5926.800673827378
fourier_nullspace,15,-133.0291796854383,0.052534032235968794,0.19924486144932893,0.2749764463114548,0.009375211627117774,0.027101927234525234,0.018607103140490855,False,0.7333182921827798,58.27652266224806,9324.002565900551
free_reference,16,-130.23029385301285,0.08567568144505053,0.2955390103494102,0.35449555361401686,nan,nan,0.02502441593916108,False,1.2495176904639893,74.51897074506438,7802.888074448092
no_exploration,16,-83.77761353077724,0.18483469073438422,2.8649017993805685,0.09612034663756733,0.014051404750531665,0.017105361985275108,0.01516702170921847,False,0.06051692454222577,49.26946118455596,0.0
smooth_random_nullspace,16,-74.65390526052065,0.12965965000086718,0.9174884261198649,0.7586960004997397,0.014356051260152554,0.017922323972859037,0.015484456838937758,False,0.10434406279617177,58.376940720754696,5461.203345160498
fourier_nullspace,16,-124.30437513567657,0.05915491323138871,0.27761690013750473,0.28693302687497924,0.01396873527025869,0.02046726189493675,0.01709788410361149,False,0.6029936690159913,58.031961506976145,7587.698091873738
free_reference,17,-124.27839597799644,0.043965081486360344,0.18477940832913983,0.28184558301743146,nan,nan,0.02533481854835103,False,0.9412360511687908,68.18053132225148,4784.559031495027
no_exploration,17,-102.82167491900347,0.18263206812249527,2.8009177265962326,0.14203123807903345,0.007755738654883896,0.013078313418328272,0.02068077053835143,False,0.12532006703961218,49.29667169948567,0.0
smooth_random_nullspace,17,-78.34711619757358,0.10451006622968916,0.5566708799600165,0.8011161817522789,0.008560556601767336,0.014232107139759342,0.02193912227871695,False,0.144159012113809,57.249950553200925,5936.722363023266
fourier_nullspace,17,-133.87188298646376,0.03960057319645899,0.16059709184954044,0.2721550598398198,0.009316654191394727,0.01665904432417705,0.02127964723535622,False,0.5396024405514984,59.74664244428942,19530.069736998907
free_reference,18,-114.45207697933012,0.0328898539707658,0.4640123543155171,0.5480992508126176,nan,nan,0.03110013045659629,False,1.8848793011717326,57.90630048778726,11491.9790170045
no_exploration,18,-102.28345093448517,0.059166183996952094,0.5323616198187495,0.1023879636979476,0.014319831049353962,0.02543882308368696,0.014099187363154693,False,0.2669734661632605,51.807744762731126,0.0
smooth_random_nullspace,18,-87.07608952155145,0.07108871579676045,0.8547029657418238,0.5608657581201778,0.014710268986388806,0.027019326853388786,0.013859217796643218,False,0.2968412279267511,59.350902047911596,6184.493078507763
fourier_nullspace,18,-126.97628852842111,0.04342262768599909,0.17231724560663925,0.29928426352422527,0.015072181336942991,0.02558199447492953,0.016573048349376347,False,0.5842542277184833,56.557510588229604,6929.589878664061
free_reference,19,-127.79719179536917,0.055851529516619196,0.14616979109474687,0.3315072031464927,nan,nan,0.024244706405517357,False,0.82770373879613,75.40595922882395,4119.055949347783
no_exploration,19,-81.20084860894896,0.14047502239061957,0.7259895399183797,0.029522098080569353,0.00936656563807583,0.015161473290460309,0.015140185269545975,False,0.05876350002141842,49.52025693482811,0.0
smooth_random_nullspace,19,-68.86615141596059,0.1438462084701556,0.6940784642494744,1.0207817010209987,0.009290983852971297,0.01582687438340274,0.015086289485367157,False,0.09238595151024015,57.67414688855337,4913.850910250003
fourier_nullspace,19,-126.63682628710535,0.04504505133074391,0.17279730270377353,0.2844976042211491,0.012891890051982996,0.02920821828687629,0.020213205645583564,False,0.5269460243787746,58.7514160776777,13566.592259724961
free_reference,20,-126.47385283968794,0.11416827211079712,1.1330481547767621,0.244354100187209,nan,nan,0.02358804155306412,False,1.715706986793193,52.54486917408326,4823.067202284248
