config,policy,seed,logdet_cov,trace_cov,alpha_rmse,holdout_torque_rmse,validation_torque_rmse,fault,tracking_rmse,saturation_fraction,max_abs_q,max_abs_qd,peak_abs_tau,sigma_eff
horizontal,smooth_random,9,-80.31197224947611,0.0005498941308071637,0.03182188095569915,0.06701208153668972,0.07924310085284261,False,0.002250830104619333,0.0,0.9434566677990295,0.7787308791093785,9.54810450810559,0.08013249721102289
horizontal,fourier_envelope,9,-87.94172537901191,7.438102546969767e-05,0.001915801183355358,0.0064845293747152494,0.08062537897975205,False,0.0035726078563299117,0.0,1.7222020779834166,1.7851031897367498,7.904607251902447,0.06665993634542808
horizontal,segment_fim_greedy,9,-83.6065722595483,0.00035105467266241156,0.03774389983488738,0.06928845619348399,0.07914659314924988,False,0.002802230865386124,0.0,1.025000729696256,0.7798518032288351,10.252284594143486,0.07792924252812425
horizontal,segment_active_ig,9,-84.22010688326853,0.00030455672431439426,0.040408175948582745,0.07245040247654046,0.07914755618621529,False,0.0026350392283742132,0.0,1.9867928913718447,0.904451243125161,10.515986429839385,0.07860980583356089
horizontal,hold_sequence,10,-71.04681227641731,0.005880954184133627,0.2373639500437197,0.47334328970116574,0.13137142935648327,False,0.0014602624738935068,0.0,0.5349352996969476,0.3869633410017531,10.269558005535991,0.08325353841672006
horizontal,smooth_random,10,-80.37420813979523,0.0005035698872547236,0.029685849444028706,0.06019376016555951,0.07634501636806704,False,0.0027612664485181814,0.0,0.6366628783205088,1.022324721249001,8.457366205058442,0.07889382304102692
horizontal,fourier_envelope,10,-78.71002847502103,0.00032964257736781756,0.009372790622958234,0.057741040516666294,0.08456491981808795,False,0.0044278307886640765,0.0,1.7412036460307427,1.118171046994354,6.988682889350089,0.06945664429836701
horizontal,segment_fim_greedy,10,-83.4426681847396,0.0003288408988705457,0.04215868694953743,0.0739877285662849,0.07643525915374247,False,0.002856480688614365,0.0,1.9288751259473425,0.8354892520959103,10.303191888651464,0.07920535574146143
horizontal,segment_active_ig,10,-84.24467647038708,0.00030696068983072027,0.04757066381561361,0.08294670467016972,0.07655887203448218,False,0.0031193076701515527,0.0,0.926502689006028,0.8703606822850573,10.049044034811638,0.07636330755138804
horizontal,hold_sequence,11,-71.79947664677941,0.004930078566451767,0.18833364557869517,0.3753383711628352,0.11600667252396264,False,0.002283405327664092,0.0,0.43538554993919343,0.37863707174925204,9.937983250449275,0.08176845269985679
horizontal,smooth_random,11,-80.0391768436833,0.0005851009377454473,0.02385108998179971,0.04985739075061872,0.07629206779435917,False,0.004266828737780258,0.0,0.6486417509666532,0.9638572149296565,9.741397228578478,0.08376824391779562
