cal,calibration_alpha_rmse,failure,fault,feasibility_risk_ext,feasibility_risk_ext_est,feasibility_risk_tau_only,hold_ee_error,horizon,rho_tau,rho_vel,seed,target,torque
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,5,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,6,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,7,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,8,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,9,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,10,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,11,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,12,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,13,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,14,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,15,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,16,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,17,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,18,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,19,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,20,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,21,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,22,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,23,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,24,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,25,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,26,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,27,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,28,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,29,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,30,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,31,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,32,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,33,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,34,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,35,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,36,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,37,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,38,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,39,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,40,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,41,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,42,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,43,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,44,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,45,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,46,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,47,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,48,near,loose
cal0,0.0,True,True,1.2036928469134942,1.2036928469134942,0.2694118339146315,inf,short,0.2694118339146315,1.2036928469134942,49,near,loose
cal0,0.0,True,True,4.513848175925602,4.513848175925602,0.6583376765130196,inf,short,0.6583376765130196,4.513848175925602,0,far,loose
cal0,0.0,True,True,4.513848175925602,4.513848175925602,0.6583376765130196,inf,short,0.6583376765130196,4.513848175925602,1,far,loose
cal0,0.0,True,True,4.513848175925602,4.513848175925602,0.6583376765130196,inf,short,0.6583376765130196,4.513848175925602,2,far,loose
cal0,0.0,True,True,4.513848175925602,4.513848175925602,0.6583376765130196,inf,short,0.6583376765130196,4.513848175925602,3,far,loose
